date,close
01/02/2005,"30,265"
02/02/2005,"28,403"
03/02/2005,"27,210"
04/02/2005,"26,303"
07/02/2005,"28,499"
11/02/2005,"27,305"
14/02/2005,"27,305"
15/02/2005,"26,971"
16/02/2005,"30,170"
17/02/2005,"30,313"
18/02/2005,"29,597"
21/02/2005,"28,976"
22/02/2005,"27,592"
23/02/2005,"28,594"
24/02/2005,"28,403"
25/02/2005,"28,833"
28/02/2005,"27,878"
02/03/2005,"25,396"
03/03/2005,"26,446"
04/03/2005,"26,446"
07/03/2005,"25,491"
08/03/2005,"24,775"
09/03/2005,"24,346"
10/03/2005,"24,775"
11/03/2005,"27,735"
14/03/2005,"27,878"
15/03/2005,"27,830"
16/03/2005,"28,690"
17/03/2005,"27,114"
18/03/2005,"25,778"
21/03/2005,"24,728"
22/03/2005,"24,919"
23/03/2005,"23,868"
24/03/2005,"22,770"
25/03/2005,"23,439"
28/03/2005,"24,393"
29/03/2005,"23,964"
30/03/2005,"23,868"
31/03/2005,"23,009"
01/04/2005,"23,868"
04/04/2005,"24,823"
06/04/2005,"24,680"
07/04/2005,"24,250"
08/04/2005,"25,300"
11/04/2005,"25,205"
12/04/2005,"26,255"
13/04/2005,"25,778"
14/04/2005,"24,632"
15/04/2005,"23,248"
18/04/2005,"21,816"
19/04/2005,"21,911"
20/04/2005,"22,054"
21/04/2005,"21,291"
22/04/2005,"22,245"
25/04/2005,"21,911"
26/04/2005,"21,386"
27/04/2005,"20,765"
28/04/2005,"20,145"
29/04/2005,"20,336"
02/05/2005,"19,954"
03/05/2005,"18,570"
04/05/2005,"17,997"
06/05/2005,"17,281"
09/05/2005,"17,376"
10/05/2005,"16,183"
11/05/2005,"13,796"
12/05/2005,"13,700"
13/05/2005,"14,560"
16/05/2005,"13,700"
17/05/2005,"13,366"
18/05/2005,"12,889"
19/05/2005,"12,984"
20/05/2005,"14,894"
23/05/2005,"15,419"
24/05/2005,"15,133"
25/05/2005,"14,942"
26/05/2005,"14,560"
27/05/2005,"15,180"
30/05/2005,"15,228"
31/05/2005,"15,228"
01/06/2005,"15,849"
02/06/2005,"16,851"
03/06/2005,"18,140"
07/06/2005,"17,710"
08/06/2005,"17,663"
09/06/2005,"18,235"
10/06/2005,"17,424"
13/06/2005,"16,803"
14/06/2005,"16,230"
15/06/2005,"16,947"
16/06/2005,"17,424"
17/06/2005,"16,899"
20/06/2005,"16,803"
21/06/2005,"16,469"
22/06/2005,"15,944"
23/06/2005,"16,040"
24/06/2005,"15,801"
27/06/2005,"15,514"
28/06/2005,"14,798"
29/06/2005,"15,180"
30/06/2005,"15,467"
01/07/2005,"15,514"
04/07/2005,"16,087"
05/07/2005,"17,328"
06/07/2005,"17,519"
07/07/2005,"16,947"
08/07/2005,"18,044"
11/07/2005,"18,235"
12/07/2005,"17,710"
13/07/2005,"17,233"
14/07/2005,"16,756"
15/07/2005,"17,042"
18/07/2005,"16,947"
19/07/2005,"16,994"
20/07/2005,"17,042"
21/07/2005,"17,472"
