date,close
02/01/2003,"1,302"
03/01/2003,"1,302"
06/01/2003,"1,273"
07/01/2003,"1,273"
08/01/2003,"1,267"
09/01/2003,"1,217"
10/01/2003,"1,223"
13/01/2003,"1,167"
14/01/2003,"1,217"
15/01/2003,"1,196"
16/01/2003,"1,204"
17/01/2003,"1,267"
20/01/2003,"1,294"
21/01/2003,"1,288"
22/01/2003,"1,267"
23/01/2003,"1,267"
24/01/2003,"1,267"
27/01/2003,"1,260"
28/01/2003,"1,267"
29/01/2003,"1,260"
30/01/2003,"1,267"
03/02/2003,"1,175"
04/02/2003,"1,188"
05/02/2003,"1,260"
06/02/2003,"1,196"
07/02/2003,"1,217"
10/02/2003,"1,232"
11/02/2003,"1,188"
12/02/2003,"1,204"
13/02/2003,"1,217"
14/02/2003,"1,175"
17/02/2003,"1,175"
18/02/2003,"1,153"
19/02/2003,"1,182"
20/02/2003,"1,182"
21/02/2003,"1,146"
24/02/2003,"1,146"
25/02/2003,"1,119"
26/02/2003,"1,125"
27/02/2003,"1,175"
28/02/2003,"1,119"
03/03/2003,"1,132"
04/03/2003,"1,140"
05/03/2003,"1,125"
06/03/2003,"1,020"
07/03/2003,"1,047"
10/03/2003,"1,032"
11/03/2003,"1,026"
12/03/2003,"1,020"
13/03/2003,955
14/03/2003,941
17/03/2003,941
18/03/2003,941
19/03/2003,941
20/03/2003,955
21/03/2003,955
24/03/2003,962
25/03/2003,948
26/03/2003,948
27/03/2003,948
28/03/2003,948
31/03/2003,948
01/04/2003,955
02/04/2003,955
03/04/2003,933
04/04/2003,933
07/04/2003,969
08/04/2003,969
09/04/2003,962
10/04/2003,969
11/04/2003,955
14/04/2003,976
15/04/2003,991
16/04/2003,"1,040"
17/04/2003,"1,005"
18/04/2003,"1,032"
21/04/2003,"1,020"
22/04/2003,"1,012"
23/04/2003,"1,020"
24/04/2003,"1,026"
25/04/2003,991
28/04/2003,976
29/04/2003,962
30/04/2003,991
02/05/2003,969
06/05/2003,991
07/05/2003,991
09/05/2003,991
12/05/2003,991
13/05/2003,"1,020"
14/05/2003,997
15/05/2003,997
16/05/2003,983
19/05/2003,941
20/05/2003,"1,012"
21/05/2003,948
22/05/2003,976
23/05/2003,962
26/05/2003,962
27/05/2003,991
28/05/2003,"1,012"
29/05/2003,"1,012"
30/05/2003,"1,026"
02/06/2003,983
03/06/2003,976
04/06/2003,"1,026"
05/06/2003,"1,005"
09/06/2003,"1,012"
10/06/2003,997
11/06/2003,"1,012"
12/06/2003,991
13/06/2003,"1,005"
16/06/2003,"1,020"
17/06/2003,"1,026"
18/06/2003,"1,026"
19/06/2003,"1,020"
20/06/2003,"1,026"
23/06/2003,"1,026"
24/06/2003,997
25/06/2003,"1,026"
26/06/2003,997
27/06/2003,997
30/06/2003,991
01/07/2003,969
