date,close
17/12/2020,"12,850"
18/12/2020,"12,500"
21/12/2020,"11,350"
22/12/2020,"10,000"
23/12/2020,"8,980"
24/12/2020,"8,420"
28/12/2020,"8,300"
29/12/2020,"8,520"
30/12/2020,"8,960"
04/01/2021,"8,970"
05/01/2021,"8,810"
06/01/2021,"8,780"
07/01/2021,"8,800"
08/01/2021,"8,470"
11/01/2021,"8,100"
12/01/2021,"7,960"
13/01/2021,"8,000"
14/01/2021,"8,400"
15/01/2021,"8,190"
18/01/2021,"7,860"
19/01/2021,"7,880"
20/01/2021,"7,880"
21/01/2021,"7,870"
22/01/2021,"7,760"
25/01/2021,"7,850"
26/01/2021,"7,700"
27/01/2021,"7,660"
28/01/2021,"7,390"
29/01/2021,"7,200"
01/02/2021,"7,160"
02/02/2021,"7,300"
03/02/2021,"7,670"
04/02/2021,"7,520"
05/02/2021,"7,770"
08/02/2021,"7,740"
09/02/2021,"7,620"
10/02/2021,"7,580"
15/02/2021,"7,580"
16/02/2021,"7,550"
17/02/2021,"7,510"
18/02/2021,"7,500"
19/02/2021,"7,460"
22/02/2021,"7,450"
23/02/2021,"7,500"
24/02/2021,"7,580"
25/02/2021,"7,570"
26/02/2021,"7,380"
02/03/2021,"7,310"
03/03/2021,"7,260"
04/03/2021,"7,450"
05/03/2021,"7,450"
08/03/2021,"7,410"
09/03/2021,"7,300"
10/03/2021,"7,410"
11/03/2021,"7,680"
12/03/2021,"7,830"
15/03/2021,"7,690"
16/03/2021,"7,620"
17/03/2021,"7,450"
18/03/2021,"7,430"
19/03/2021,"7,620"
22/03/2021,"9,900"
23/03/2021,"11,200"
24/03/2021,"11,250"
25/03/2021,"11,400"
26/03/2021,"11,900"
29/03/2021,"12,400"
30/03/2021,"13,100"
31/03/2021,"12,500"
01/04/2021,"12,450"
02/04/2021,"12,400"
05/04/2021,"11,700"
06/04/2021,"11,900"
07/04/2021,"12,750"
08/04/2021,"11,750"
09/04/2021,"11,400"
12/04/2021,"11,150"
13/04/2021,"11,300"
14/04/2021,"10,300"
15/04/2021,"10,100"
16/04/2021,"10,300"
19/04/2021,"10,350"
20/04/2021,"10,750"
21/04/2021,"10,350"
22/04/2021,"10,350"
23/04/2021,"10,700"
26/04/2021,"10,550"
27/04/2021,"10,300"
28/04/2021,"10,700"
29/04/2021,"10,500"
30/04/2021,"9,840"
03/05/2021,"9,910"
04/05/2021,"9,970"
06/05/2021,"9,640"
07/05/2021,"9,940"
10/05/2021,"9,990"
11/05/2021,"9,890"
12/05/2021,"9,840"
13/05/2021,"10,050"
14/05/2021,"11,000"
17/05/2021,"10,900"
18/05/2021,"10,950"
20/05/2021,"11,500"
21/05/2021,"10,950"
24/05/2021,"10,150"
25/05/2021,"10,050"
26/05/2021,"10,200"
27/05/2021,"10,250"
28/05/2021,"10,550"
31/05/2021,"10,700"
01/06/2021,"10,900"
02/06/2021,"11,150"
03/06/2021,"11,050"
04/06/2021,"10,500"
07/06/2021,"10,150"
08/06/2021,"10,200"
09/06/2021,"10,300"
10/06/2021,"9,720"
11/06/2021,"9,910"
14/06/2021,"10,100"
15/06/2021,"10,050"
16/06/2021,"10,000"
17/06/2021,"9,940"
18/06/2021,"9,910"
21/06/2021,"9,550"
22/06/2021,"9,580"
23/06/2021,"9,580"
24/06/2021,"9,690"
25/06/2021,"9,670"
28/06/2021,"9,910"
29/06/2021,"9,630"
30/06/2021,"9,690"
01/07/2021,"9,600"
02/07/2021,"9,460"
05/07/2021,"9,600"
06/07/2021,"9,800"
07/07/2021,"10,150"
08/07/2021,"10,150"
09/07/2021,"9,950"
12/07/2021,"10,350"
13/07/2021,"10,700"
14/07/2021,"10,850"
15/07/2021,"10,850"
16/07/2021,"10,750"
19/07/2021,"10,750"
20/07/2021,"10,700"
21/07/2021,"10,750"
22/07/2021,"11,000"
23/07/2021,"11,050"
26/07/2021,"11,100"
27/07/2021,"10,700"
28/07/2021,"10,450"
29/07/2021,"10,300"
30/07/2021,"10,350"
02/08/2021,"10,300"
03/08/2021,"10,300"
04/08/2021,"10,350"
05/08/2021,"10,550"
06/08/2021,"10,500"
09/08/2021,"10,250"
10/08/2021,"10,100"
11/08/2021,"10,100"
12/08/2021,"9,860"
13/08/2021,"9,690"
17/08/2021,"9,500"
18/08/2021,"9,590"
19/08/2021,"9,270"
20/08/2021,"8,670"
23/08/2021,"8,850"
24/08/2021,"9,150"
25/08/2021,"9,490"
26/08/2021,"9,220"
27/08/2021,"9,100"
30/08/2021,"9,100"
31/08/2021,"9,130"
01/09/2021,"9,020"
02/09/2021,"9,240"
03/09/2021,"9,150"
06/09/2021,"9,080"
07/09/2021,"9,000"
08/09/2021,"9,020"
09/09/2021,"9,050"
10/09/2021,"9,080"
13/09/2021,"8,920"
14/09/2021,"8,860"
15/09/2021,"8,860"
16/09/2021,"8,870"
17/09/2021,"8,850"
23/09/2021,"8,750"
24/09/2021,"9,240"
27/09/2021,"9,000"
28/09/2021,"8,770"
29/09/2021,"8,620"
30/09/2021,"8,530"
01/10/2021,"8,420"
05/10/2021,"8,140"
06/10/2021,"8,000"
07/10/2021,"8,090"
08/10/2021,"8,050"
12/10/2021,"7,810"
13/10/2021,"7,920"
14/10/2021,"8,070"
15/10/2021,"8,220"
18/10/2021,"8,160"
19/10/2021,"8,190"
20/10/2021,"8,150"
21/10/2021,"8,150"
22/10/2021,"8,420"
25/10/2021,"8,800"
26/10/2021,"9,360"
27/10/2021,"10,250"
28/10/2021,"10,150"
29/10/2021,"9,800"
01/11/2021,"10,100"
02/11/2021,"10,100"
03/11/2021,"10,000"
04/11/2021,"9,990"
05/11/2021,"9,950"
08/11/2021,"10,050"
09/11/2021,"10,400"
10/11/2021,"9,850"
11/11/2021,"9,900"
12/11/2021,"10,500"
15/11/2021,"10,550"
16/11/2021,"10,750"
17/11/2021,"11,100"
18/11/2021,"11,400"
19/11/2021,"11,650"
22/11/2021,"11,700"
23/11/2021,"11,600"
24/11/2021,"11,450"
25/11/2021,"11,550"
26/11/2021,"11,500"
29/11/2021,"11,900"
30/11/2021,"11,250"
01/12/2021,"11,350"
02/12/2021,"11,900"
03/12/2021,"11,750"
06/12/2021,"11,600"
07/12/2021,"11,400"
08/12/2021,"11,300"
09/12/2021,"11,350"
10/12/2021,"11,200"
13/12/2021,"11,250"
14/12/2021,"11,700"
15/12/2021,"11,250"
16/12/2021,"10,950"
17/12/2021,"11,000"
20/12/2021,"10,800"
21/12/2021,"10,700"
22/12/2021,"10,500"
23/12/2021,"10,900"
24/12/2021,"10,550"
27/12/2021,"10,400"
28/12/2021,"10,400"
29/12/2021,"10,300"
30/12/2021,"10,250"
03/01/2022,"10,250"
04/01/2022,"10,700"
05/01/2022,"10,500"
06/01/2022,"10,500"
07/01/2022,"10,600"
10/01/2022,"10,550"
11/01/2022,"10,450"
12/01/2022,"10,450"
13/01/2022,"10,450"
14/01/2022,"10,450"
17/01/2022,"10,450"
18/01/2022,"10,300"
19/01/2022,"10,050"
20/01/2022,"10,150"
21/01/2022,"10,050"
24/01/2022,"10,400"
25/01/2022,"10,300"
26/01/2022,"9,980"
27/01/2022,"9,930"
28/01/2022,"10,000"
03/02/2022,"10,000"
04/02/2022,"9,990"
07/02/2022,"9,880"
08/02/2022,"9,790"
09/02/2022,"9,800"
10/02/2022,"9,840"
11/02/2022,"9,820"
14/02/2022,"9,650"
15/02/2022,"9,650"
16/02/2022,"9,880"
17/02/2022,"9,740"
18/02/2022,"9,630"
21/02/2022,"9,660"
22/02/2022,"9,500"
23/02/2022,"9,350"
24/02/2022,"9,360"
25/02/2022,"9,280"
28/02/2022,"9,170"
02/03/2022,"9,150"
03/03/2022,"9,250"
04/03/2022,"9,070"
07/03/2022,"8,790"
08/03/2022,"8,530"
10/03/2022,"8,900"
11/03/2022,"9,080"
14/03/2022,"9,020"
15/03/2022,"9,050"
16/03/2022,"9,200"
17/03/2022,"9,110"
18/03/2022,"9,130"
21/03/2022,"9,170"
22/03/2022,"9,080"
23/03/2022,"9,140"
24/03/2022,"9,150"
25/03/2022,"9,110"
28/03/2022,"9,090"
29/03/2022,"9,070"
30/03/2022,"9,050"
31/03/2022,"9,050"
01/04/2022,"9,070"
04/04/2022,"9,120"
05/04/2022,"9,090"
06/04/2022,"9,100"
07/04/2022,"9,040"
08/04/2022,"9,100"
11/04/2022,"9,000"
12/04/2022,"8,990"
13/04/2022,"9,120"
14/04/2022,"9,000"
15/04/2022,"9,000"
18/04/2022,"9,140"
19/04/2022,"9,060"
20/04/2022,"9,000"
21/04/2022,"9,010"
22/04/2022,"9,040"
25/04/2022,"9,030"
26/04/2022,"9,040"
27/04/2022,"9,020"
28/04/2022,"9,030"
29/04/2022,"9,040"
02/05/2022,"9,040"
03/05/2022,"9,050"
04/05/2022,"9,030"
06/05/2022,"8,870"
09/05/2022,"8,750"
10/05/2022,"8,520"
11/05/2022,"8,500"
12/05/2022,"8,410"
13/05/2022,"8,420"
16/05/2022,"8,430"
17/05/2022,"8,430"
18/05/2022,"8,350"
19/05/2022,"8,290"
20/05/2022,"8,280"
23/05/2022,"8,200"
24/05/2022,"8,100"
25/05/2022,"7,960"
26/05/2022,"7,990"
27/05/2022,"8,090"
30/05/2022,"8,120"
31/05/2022,"8,130"
02/06/2022,"8,100"
03/06/2022,"8,200"
07/06/2022,"8,200"
08/06/2022,"8,160"
09/06/2022,"8,000"
10/06/2022,"7,930"
13/06/2022,"7,870"
14/06/2022,"7,630"
15/06/2022,"7,380"
16/06/2022,"7,480"
17/06/2022,"7,350"
20/06/2022,"7,310"
21/06/2022,"7,220"
22/06/2022,"6,710"
23/06/2022,"6,220"
24/06/2022,"6,220"
27/06/2022,"6,250"
28/06/2022,"6,260"
29/06/2022,"6,240"
30/06/2022,"6,200"
01/07/2022,"6,140"
04/07/2022,"6,200"
05/07/2022,"6,260"
06/07/2022,"6,240"
07/07/2022,"6,310"
08/07/2022,"6,410"
11/07/2022,"7,380"
12/07/2022,"6,800"
13/07/2022,"7,020"
14/07/2022,"7,140"
15/07/2022,"6,910"
18/07/2022,"7,110"
19/07/2022,"7,360"
20/07/2022,"7,680"
21/07/2022,"7,790"
22/07/2022,"7,650"
25/07/2022,"7,730"
26/07/2022,"7,730"
27/07/2022,"7,930"
28/07/2022,"8,370"
29/07/2022,"8,150"
01/08/2022,"8,020"
02/08/2022,"7,580"
03/08/2022,"7,710"
04/08/2022,"8,090"
05/08/2022,"7,980"
08/08/2022,"7,840"
09/08/2022,"7,950"
10/08/2022,"7,960"
11/08/2022,"7,670"
12/08/2022,"7,690"
16/08/2022,"7,610"
17/08/2022,"7,540"
18/08/2022,"7,590"
19/08/2022,"7,490"
22/08/2022,"7,280"
23/08/2022,"7,290"
24/08/2022,"7,350"
25/08/2022,"7,300"
26/08/2022,"7,090"
29/08/2022,"6,900"
30/08/2022,"6,900"
31/08/2022,"7,120"
01/09/2022,"7,140"
02/09/2022,"7,000"
05/09/2022,"6,930"
06/09/2022,"6,930"
07/09/2022,"6,600"
08/09/2022,"6,600"
13/09/2022,"6,850"
14/09/2022,"6,880"
15/09/2022,"6,950"
16/09/2022,"6,850"
19/09/2022,"6,930"
20/09/2022,"7,100"
21/09/2022,"7,100"
22/09/2022,"7,040"
23/09/2022,"6,790"
26/09/2022,"6,530"
27/09/2022,"6,450"
28/09/2022,"6,460"
29/09/2022,"6,220"
30/09/2022,"6,150"
04/10/2022,"6,090"
05/10/2022,"5,970"
06/10/2022,"5,950"
07/10/2022,"6,160"
11/10/2022,"6,000"
12/10/2022,"5,870"
13/10/2022,"5,650"
14/10/2022,"5,650"
17/10/2022,"5,700"
18/10/2022,"6,070"
19/10/2022,"6,040"
20/10/2022,"6,030"
21/10/2022,"6,030"
24/10/2022,"6,070"
25/10/2022,"5,950"
26/10/2022,"6,090"
27/10/2022,"6,160"
