ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
램시마 코로나 영국임상,4,4,2.502925293937289e-05,0.00024320544780203075,9.716848057396486
코로나 영국임상 결과,4,4,2.502925293937289e-05,0.00024320544780203075,9.716848057396486
영국임상 결과 논문,4,4,2.502925293937289e-05,0.00024320544780203075,9.716848057396486
결과 논문 실리네,4,4,2.502925293937289e-05,0.00024320544780203075,9.716848057396486
의사파업 지지 청원,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
염승환 이사님이 엔터주는,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
원재료 50 수입,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
속보 g20서 한국,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
g20서 한국 2050년까지,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
한국 2050년까지 석탄발전,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
2050년까지 석탄발전 전면,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
석탄발전 전면 폐기,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
한국거래소 신종코로나 관련,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
신종코로나 관련 집중,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
관련 집중 모니터링,3,3,1.8771939704529668e-05,0.00018240408585152307,9.716848057396486
올해 주식 매수한,11,11,6.883044558327545e-05,0.0006688149814555846,9.716848057396485
주식 매수한 사람들은,11,11,6.883044558327545e-05,0.0006688149814555846,9.716848057396485
매수한 사람들은 좃됐네요,11,11,6.883044558327545e-05,0.0006688149814555846,9.716848057396485
안철수는 죽어도 찍는다,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
백신 개발 기대,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
7차 핵실험 임박했나,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
핵실험 임박했나 도발중단,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
임박했나 도발중단 비핵화,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
도발중단 비핵화 조치,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
비핵화 조치 촉구,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
조치 촉구 다자무대,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
촉구 다자무대 공동발표,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
매우중요필독 화요일 주가예상,4,3,2.502925293937289e-05,0.00018240408585152307,7.287636043047365
신풍제약 우보천리 대박뉴스,13,9,8.13450720529619e-05,0.0005472122575545692,6.727048655120643
시간외 상한가 7종목,6,4,3.7543879409059336e-05,0.00024320544780203075,6.477898704930991
안녕하세요 휴마시스 주주입니다,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
신풍 고점 시총,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
고점 시총 11조,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
시총 11조 휴머니젠,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
11조 휴머니젠 8천억,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
우한폐렴보다 문재가 다가온다,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
이스라엘 연구소 몇주,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
연구소 몇주 안에,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
몇주 안에 코로나19,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
안에 코로나19 백신,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
코로나19 백신 개발,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
26년 주가 전망,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
속보 이스라엘 레바논서,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
이스라엘 레바논서 제한적,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
레바논서 제한적 지상전,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
제한적 지상전 계획,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
지상전 계획 시작,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
개미들 보거라 형이다,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
중국아픔이 우리아픔 쩝쩝,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
플랫폼 act 액트,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
잡것들 딴데가서 놀아라,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
담주 월장 쩜상달리것네,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
코로나 백신 개발,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
주주행동 플랫폼 act로,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
주식양도세 글이 길지만,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
글이 길지만 부탁드립니다,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
하락 네이버 관련주,3,2,1.8771939704529668e-05,0.00012160272390101538,6.477898704930991
이재용 회장 꿈의,5,3,3.128656617421612e-05,0.00018240408585152307,5.830108834437891
회장 꿈의 배터리,5,3,3.128656617421612e-05,0.00018240408585152307,5.830108834437891
